	adjusted Student P	Student P	log2FC	Protein Group	Top	Accession	Significance	Coverage (%)	#Peptides	#Unique	PTM	ADRNOR_4H_1_1_2792 Area	ADRNOR_4H_1_2_2793 Area	ADRNOR_4H_2_1_2795 Area	ADRNOR_4H_2_2_2796 Area	ADRNOR_4H_3_1_2798 Area	ADRNOR_4H_3_2_2799 Area	ADR_4H_1_1_2772 Area	ADR_4H_1_2_2773 Area	ADR_4H_2_1_2775 Area	ADR_4H_2_2_2776 Area	ADR_4H_3_1_2778 Area	ADR_4H_3_2_2779 Area	CTRL_4H_1_1_2752 Area	CTRL_4H_1_2_2753 Area	CTRL_4H_2_1_2755 Area	CTRL_4H_2_2_2756 Area	CTRL_4H_3_1_2758 Area	CTRL_4H_3_2_2759 Area	NOR_4H_1_1_2781 Area	NOR_4H_1_2_2782 Area	NOR_4H_2_1_2786 Area	NOR_4H_2_2_2787 Area	NOR_4H_3_1_2789 Area	NOR_4H_3_2_2790 Area	TNF_4H_1_1_2761 Area	TNF_4H_1_2_2762 Area	TNF_4H_2_1_2764 Area	TNF_4H_2_2_2765 Area	TNF_4H_3_1+_2769 Area	TNF_4H_3_2_2770 Area	ADRNOR_24H_1_1_2931 Area	ADRNOR_24H_1_2_2932 Area	ADRNOR_24H_2_1_2934 Area	ADRNOR_24H_2_2_2935 Area	ADRNOR_24H_3_1_2937 Area	ADRNOR_24H_3_2_2938 Area	ADR_24H_1_1_2911 Area	ADR_24H_1_2_2912 Area	ADR_24H_2_1_2914 Area	ADR_24H_2_2_2915 Area	ADR_24H_3_1_2917 Area	ADR_24H_3_2_2918 Area	CTRL_24H_1_1_2840 Area	CTRL_24H_1_2_2841 Area	CTRL_24H_2_1_2843 Area	CTRL_24H_2_2_2844 Area	CTRL_24H_3_1_2846 Area	CTRL_24H_3_2_2847 Area	NOR_24H_1_1_2920 Area	NOR_24H_1_2_2921 Area	NOR_24H_2_1_2925 Area	NOR_24H_2_2_2926 Area	NOR_24H_3_1_2928 Area	NOR_24H_3_2_2929 Area	TNF_24H_1_1_2849 Area	TNF_24H_1_2_2850 Area	TNF_24H_2_1_2852 Area	TNF_24H_3_1_2908 Area	TNF_24H_3_2_2909 Area	POOL_3_2923 Area	221212_POOL_4_2940 Area	221207_POOL_4_2801 Area	221207_POOL_3_2784 Area	221207_POOL_2_2767 Area	221207_POOL_1_2750 Area	Sample Profile (Ratio)	ADRNOR_4H Area	ADR_4H Area	CTRL_4H Area	NOR_4H Area	TNF_4H Area	ADRNOR_24H Area	ADR_24H Area	CTRL_24H Area	NOR_24H Area	TNF_24H Area	POOL Area	Group Profile (Ratio)	Avg. Mass	Description
165	0.004527913003066656	2.5534274507307954e-05	1.0511183730016302	569	True	P54652|HSP72_HUMAN	76.01	4.69	18	3	Acetylation (K); Carbamidomethylation; Deamidation (NQ); Oxidation (M)	10823.138	10098.396	11232.236	11529.231	10912.492	10301.7	5784.288	5685.9287	5391.2134	4994.3135	6222.6953	8205.632	5959.955	6166.198	3046.2266	4858.096	5369.6807	5121.6113	7543.634	12423.845	8138.6826	10427.739	5689.239	6108.8164	8765.151	7758.555	9568.151	7611.69	12076.315	11530.943	8030.8354	9035.431	8845.844	6699.494	8031.5234	8740.379	7300.8765	6666.05	8186.121	8020.3457	9027.308	13119.43	5209.427	6245.303	5770.404	5913.9243	6199.485	7378.795	9534.478	9568.508	7254.003	7401.5654	6479.75	5641.8022	4826.3555	4334.9253	4836.264	5837.9985	6179.6514	7784.828	7848.865	11934.0205	10867.456	5851.718	6735.0977	1.00:0.93:1.04:1.07:1.01:0.95:0.53:0.53:0.50:0.46:0.57:0.76:0.55:0.57:0.28:0.45:0.50:0.47:0.70:1.15:0.75:0.96:0.53:0.56:0.81:0.72:0.88:0.70:1.12:1.07:0.74:0.83:0.82:0.62:0.74:0.81:0.67:0.62:0.76:0.74:0.83:1.21:0.48:0.58:0.53:0.55:0.57:0.68:0.88:0.88:0.67:0.68:0.60:0.52:0.45:0.40:0.45:0.54:0.57:0.72:0.73:1.10:1.00:0.54:0.62	10816.199	6047.3447	5086.9614	8388.659	9551.801	8230.584	8720.021	6119.556	7646.6846	5203.039	8503.664	1.00:0.56:0.47:0.78:0.88:0.76:0.81:0.57:0.71:0.48:0.79	70021	Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1
390	0.00802587925497324	6.134074817071784e-05	3.411521245606414	2718	True	E9PF32|E9PF32_HUMAN	102.78	2.58	2	2	Carbamidomethylation	778.97955	738.3073	1705.3544	1654.4755	1152.8748	1173.7977	1062.5608	1119.3663	385.56116	352.05453	1429.0267	1204.0472	81.802826	91.84426	96.95278	125.7922	121.22627	551.23956	1690.6288	1093.4146	1305.5944	1277.9553	1241.2255	1115.759	1099.1687	1232.7268	1443.8755	1477.6631	1180.7783	1102.1887	1224.4319	1230.7223	1378.88	1321.1455	1599.1017	998.84705	1007.50806	899.8115	1113.9689	1191.8167	0.0	86.67037	1247.4977	1295.7075	1230.1915	1168.1199	1405.7369	1429.7776	953.2514	955.8781	883.8953	811.1099	1259.6525	1350.545	1608.5217	1563.6642	1540.1912	1466.8866	1572.1184	1201.0059	1544.359	1514.6827	1043.1748	853.25604	636.8262	1.00:0.95:2.19:2.12:1.48:1.51:1.36:1.44:0.49:0.45:1.83:1.55:0.11:0.12:0.12:0.16:0.16:0.71:2.17:1.40:1.68:1.64:1.59:1.43:1.41:1.58:1.85:1.90:1.52:1.41:1.57:1.58:1.77:1.70:2.05:1.28:1.29:1.16:1.43:1.53:0.00:0.11:1.60:1.66:1.58:1.50:1.80:1.84:1.22:1.23:1.13:1.04:1.62:1.73:2.06:2.01:1.98:1.88:2.02:1.54:1.98:1.94:1.34:1.10:0.82	1200.6316	925.43616	178.14299	1287.4296	1256.0669	1292.1881	859.9551	1296.1719	1035.722	1550.2764	1132.2174	1.00:0.77:0.15:1.07:1.05:1.08:0.72:1.08:0.86:1.29:0.94	144319	DENN domain-containing protein 3 OS=Homo sapiens OX=9606 GN=DENND3 PE=1 SV=1
402	0.012219575199100292	0.00011674077400564809	0.5731794022123946	6243	True	P51817|PRKX_HUMAN	79.54	1.96	1	1	Acetylation (K)	28676.615	28792.06	25991.207	24571.803	27973.906	29164.406	22244.238	20297.326	26608.139	30062.031	17752.99	14364.522	14870.913	17228.66	21515.852	21185.56	19672.898	18420.834	22125.752	24455.334	25186.316	26821.66	21261.594	23386.54	23740.367	22185.598	19944.639	19285.094	21234.873	21164.043	12029.179	11449.586	10112.653	9740.812	11191.109	11782.371	10926.667	9891.382	13227.884	12707.456	23489.617	26067.521	17957.645	18922.44	19041.299	16975.477	16654.328	16797.824	12601.717	12840.661	11326.104	11444.194	8715.352	9380.78	18989.195	19473.85	14828.905	7739.2886	7499.5938	11227.143	9856.121	26364.84	23616.52	20242.902	18226.867	1.00:1.00:0.91:0.86:0.98:1.02:0.78:0.71:0.93:1.05:0.62:0.50:0.52:0.60:0.75:0.74:0.69:0.64:0.77:0.85:0.88:0.94:0.74:0.82:0.83:0.77:0.70:0.67:0.74:0.74:0.42:0.40:0.35:0.34:0.39:0.41:0.38:0.34:0.46:0.44:0.82:0.91:0.63:0.66:0.66:0.59:0.58:0.59:0.44:0.45:0.39:0.40:0.30:0.33:0.66:0.68:0.52:0.27:0.26:0.39:0.34:0.92:0.82:0.71:0.64	27528.332	21888.207	18815.787	23872.865	21259.102	11050.951	16051.755	17724.836	11051.468	13706.166	18255.732	1.00:0.80:0.68:0.87:0.77:0.40:0.58:0.64:0.40:0.50:0.66	40896	cAMP-dependent protein kinase catalytic subunit PRKX OS=Homo sapiens OX=9606 GN=PRKX PE=1 SV=1
447	0.03011149472145175	0.0006067280506667367	1.0054807688855778	7491	True	P02760|AMBP_HUMAN	200.0	1.99	1	1	Carbamidomethylation	222.00856	203.92873	333.70297	306.94925	296.07642	306.15604	208.33818	201.05466	133.09212	140.70537	321.92563	362.5803	106.72646	105.03821	155.59013	143.5783	174.86761	194.47081	224.58183	198.29994	222.22751	262.3359	218.6267	198.21739	310.25256	321.12018	294.02045	313.313	328.83786	294.08786	4538.16	4337.15	2555.7915	2564.931	1042.4556	1685.0552	1953.541	1152.5715	2235.8416	2098.1514	4077.7795	4458.4575	1111.0955	1489.989	2667.6514	3001.07	2945.2778	2831.4326	1078.0607	723.15295	310.8239	275.1644	1653.5968	1182.3652	2698.5344	2059.0317	1407.5372	1467.2657	1841.8949	2042.3868	2038.2402	257.3313	266.0566	273.57166	394.24518	1.00:0.92:1.50:1.38:1.33:1.38:0.94:0.91:0.60:0.63:1.45:1.63:0.48:0.47:0.70:0.65:0.79:0.88:1.01:0.89:1.00:1.18:0.98:0.89:1.40:1.45:1.32:1.41:1.48:1.32:20.44:19.54:11.51:11.55:4.70:7.59:8.80:5.19:10.07:9.45:18.37:20.08:5.00:6.71:12.02:13.52:13.27:12.75:4.86:3.26:1.40:1.24:7.45:5.33:12.16:9.27:6.34:6.61:8.30:9.20:9.18:1.16:1.20:1.23:1.78	278.137	227.94937	146.71191	220.71487	310.27197	2787.2573	2662.7236	2341.086	870.52734	1894.8528	878.6386	1.00:0.82:0.53:0.79:1.12:10.02:9.57:8.42:3.13:6.81:3.16	38999	Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1
478	0.029441770530572904	0.000552320864565203	2.8107419150145745	6077	True	Q08117|TLE5_HUMAN	34.87	6.09	1	1		835.73267	967.7282	1058.324	1068.881	943.7325	146.43854	1049.2576	900.2064	141.66301	128.63368	1173.7545	130.5873	176.28506	175.31517	130.24484	140.64241	111.243744	105.117966	1029.7583	1049.9009	1032.5653	1115.1913	1054.2538	1107.6809	1073.6587	1177.1847	1109.2379	1047.0413	1034.3823	1048.5555	178.11177	75.2545	923.5923	932.0222	616.515	596.9507	359.93753	211.55235	761.2797	662.48114	127.44648	162.53752	513.3123	864.4984	0.0	201.0881	234.97772	320.91843	170.59528	220.0294	211.82365	148.1155	431.23807	481.77844	0.0	125.75773	175.37256	1095.9481	97.69898	88.737076	865.5478	137.84065	1113.5652	1151.2516	365.382	1.00:1.16:1.27:1.28:1.13:0.18:1.26:1.08:0.17:0.15:1.40:0.16:0.21:0.21:0.16:0.17:0.13:0.13:1.23:1.26:1.24:1.33:1.26:1.33:1.28:1.41:1.33:1.25:1.24:1.25:0.21:0.09:1.11:1.12:0.74:0.71:0.43:0.25:0.91:0.79:0.15:0.19:0.61:1.03:0.00:0.24:0.28:0.38:0.20:0.26:0.25:0.18:0.52:0.58:0.00:0.15:0.21:1.31:0.12:0.11:1.04:0.16:1.33:1.38:0.44	836.80615	587.3504	139.8082	1064.8917	1081.6768	553.7411	380.87247	426.95898	277.2634	373.69434	620.3874	1.00:0.70:0.17:1.27:1.29:0.66:0.46:0.51:0.33:0.45:0.74	21970	TLE family member 5 OS=Homo sapiens OX=9606 GN=TLE5 PE=1 SV=4
776	0.035697029904366136	0.0009329355176427393	0.7513156232517488	3132	True	P07204|TRBM_HUMAN	96.95	12.0	5	5	Carbamidomethylation; Deamidation (NQ)	12032.997	11810.289	12469.236	11598.713	9444.904	8033.5205	9440.35	7655.8486	12544.912	12334.223	8262.81	9678.273	6701.7075	7142.2573	8576.344	6767.792	8168.8335	6726.802	9039.884	10584.09	9596.174	9417.975	11882.758	12377.912	4481.441	5668.726	7441.9185	7179.624	5003.8525	4093.0408	5745.4575	7864.3066	8522.332	6692.5635	7822.5156	7136.5557	9175.712	8413.462	8690.291	8187.316	7707.6255	8232.1	5327.0864	5336.096	6215.711	6180.9585	7933.6	7968.225	9019.223	7736.6177	8120.67	8314.768	9475.113	6457.868	5022.705	5087.848	5233.9907	6123.6367	6459.455	5699.248	5232.1055	7319.1885	8075.32	8671.203	5136.536	1.00:0.98:1.04:0.96:0.78:0.67:0.78:0.64:1.04:1.03:0.69:0.80:0.56:0.59:0.71:0.56:0.68:0.56:0.75:0.88:0.80:0.78:0.99:1.03:0.37:0.47:0.62:0.60:0.42:0.34:0.48:0.65:0.71:0.56:0.65:0.59:0.76:0.70:0.72:0.68:0.64:0.68:0.44:0.44:0.52:0.51:0.66:0.66:0.75:0.64:0.67:0.69:0.79:0.54:0.42:0.42:0.43:0.51:0.54:0.47:0.43:0.61:0.67:0.72:0.43	11091.779	10163.196	7347.289	10483.132	6246.015	7297.288	8401.085	6493.613	8187.3765	5585.5273	7114.6816	1.00:0.92:0.66:0.95:0.56:0.66:0.76:0.59:0.74:0.50:0.64	60329	Thrombomodulin OS=Homo sapiens OX=9606 GN=THBD PE=1 SV=2
845	0.003700311853156873	1.5426000430044283e-05	0.5262813350397124	4810	True	P61073|CXCR4_HUMAN	200.0	11.08	4	4		4320.497	4161.748	3951.1587	4228.9478	4693.448	4682.874	3841.0803	3965.2446	3273.1758	3074.737	5475.453	4374.034	2462.0269	3090.3816	3298.1597	3079.2822	2860.0522	2680.3413	4244.586	3556.178	3802.0007	3604.6885	4352.092	4230.2007	3693.6426	3251.661	3844.2612	3782.675	3916.9934	3850.401	6327.089	6254.4116	6908.495	6168.084	7227.4785	7759.382	6765.929	6593.407	6592.112	6088.0537	6281.429	7361.9873	5822.1743	5423.045	4698.878	4890.9326	5084.812	5329.0137	5359.2812	6124.048	5036.1074	6151.9263	5975.5854	6468.4355	2381.27	3051.5552	1596.6033	2481.1235	2691.1792	5431.7563	4923.96	3925.6187	4141.1387	3669.9424	3040.894	1.00:0.96:0.91:0.98:1.09:1.08:0.89:0.92:0.76:0.71:1.27:1.01:0.57:0.72:0.76:0.71:0.66:0.62:0.98:0.82:0.88:0.83:1.01:0.98:0.85:0.75:0.89:0.88:0.91:0.89:1.46:1.45:1.60:1.43:1.67:1.80:1.57:1.53:1.53:1.41:1.45:1.70:1.35:1.26:1.09:1.13:1.18:1.23:1.24:1.42:1.17:1.42:1.38:1.50:0.55:0.71:0.37:0.57:0.62:1.26:1.14:0.91:0.96:0.85:0.70	4372.4355	4119.1885	2947.4756	4012.0415	3723.2725	6774.1562	8808.6455	5532.637	5891.9897	2440.3462	4188.8853	1.00:0.94:0.67:0.92:0.85:1.55:2.01:1.27:1.35:0.56:0.96	39746	C-X-C chemokine receptor type 4 OS=Homo sapiens OX=9606 GN=CXCR4 PE=1 SV=1
892	0.008410400174437073	6.574049120195733e-05	0.468425927461368	4844	True	Q9Y5V3|MAGD1_HUMAN	90.75	4.76	4	3		1898.0925	1803.6898	2067.1445	2255.8423	2291.7656	2254.657	1772.888	1634.9832	2073.0652	1855.1875	1955.304	1573.1794	1503.2966	1571.8726	1550.6692	1671.5338	1569.4868	1542.3289	2163.9165	2313.4382	1717.4377	1720.8652	1742.4431	1718.2861	2267.4814	1889.4043	1849.1691	2028.1641	1797.9463	1201.0544	2564.4736	2608.4702	2347.3408	2341.2441	2139.8887	2220.733	3289.0447	2745.4365	2616.5605	2817.5728	2085.1792	3716.0017	2414.6284	2425.8535	2938.185	2782.815	2423.003	2399.4233	2141.7627	2302.5776	2018.9207	2024.0786	2150.0913	2282.2434	2671.5015	2649.579	2687.9546	1744.465	2623.799	2158.8254	2348.5786	2124.0708	1972.1948	1766.0715	2199.7905	1.00:0.95:1.09:1.19:1.21:1.19:0.93:0.86:1.09:0.98:1.03:0.83:0.79:0.83:0.82:0.88:0.83:0.81:1.14:1.22:0.90:0.91:0.92:0.91:1.19:1.00:0.97:1.07:0.95:0.63:1.35:1.37:1.24:1.23:1.13:1.17:1.73:1.45:1.38:1.48:1.10:1.96:1.27:1.28:1.55:1.47:1.28:1.26:1.13:1.21:1.06:1.07:1.13:1.20:1.41:1.40:1.42:0.92:1.38:1.14:1.24:1.12:1.04:0.93:1.16	2095.1987	1810.7678	1568.198	1896.0645	1838.8699	2370.3584	2878.2993	2563.9849	2153.279	2475.46	2094.9219	1.00:0.86:0.75:0.90:0.88:1.13:1.37:1.22:1.03:1.18:1.00	86161	Melanoma-associated antigen D1 OS=Homo sapiens OX=9606 GN=MAGED1 PE=1 SV=3
997	3.6105222969042366e-05	1.6311550345923322e-08	1.5054220055318162	3264	True	J3KQ66|J3KQ66_HUMAN	60.6	0.43	1	1	Carbamidomethylation	2031.3314	1689.777	2119.879	2079.6572	2512.1428	2159.696	2926.713	983.20123	1244.5704	687.3264	1519.0206	3653.6396	821.8528	791.89325	754.16235	635.97235	697.55304	723.97284	3045.2654	2822.4001	1849.5101	1426.6138	1605.0597	1272.6724	1374.3114	2771.0947	1304.5476	1314.5631	1428.7561	1331.3544	3257.0754	3251.6084	2446.733	2384.888	2493.6855	2486.9258	1752.0956	692.51154	1273.7701	1197.2223	3757.372	3991.8484	2513.5652	1164.2147	1147.8948	2076.5867	1485.2124	1565.1125	774.65546	678.0913	699.0103	649.8818	1007.5322	1231.9479	2128.722	1236.4427	1297.0345	1329.2936	1507.5597	1860.3329	1569.2318	1659.1718	1988.4092	1820.9712	2539.999	1.00:0.83:1.04:1.02:1.24:1.06:1.44:0.48:0.61:0.34:0.75:1.80:0.40:0.39:0.37:0.31:0.34:0.36:1.50:1.39:0.91:0.70:0.79:0.63:0.68:1.36:0.64:0.65:0.70:0.66:1.60:1.60:1.20:1.17:1.23:1.22:0.86:0.34:0.63:0.59:1.85:1.97:1.24:0.57:0.57:1.02:0.73:0.77:0.38:0.33:0.34:0.32:0.50:0.61:1.05:0.61:0.64:0.65:0.74:0.92:0.77:0.82:0.98:0.90:1.25	2098.7473	1835.7452	737.56775	2003.5869	1587.4379	2720.1526	2110.8032	1658.7644	840.1865	1499.8105	1906.3527	1.00:0.87:0.35:0.95:0.76:1.30:1.01:0.79:0.40:0.71:0.91	388989	Reelin OS=Homo sapiens OX=9606 GN=RELN PE=1 SV=2
1035	0.0001871170304268361	2.2751766770676614e-07	1.60202347552206	5201	True	P78385|KRT83_HUMAN	18.68	2.43	3	1	Acetylation (K); Deamidation (NQ)	2678.4753	2755.1511	2242.6934	2592.638	2631.0747	2223.5632	1096.8743	1205.5496	1056.219	1113.7881	1021.0966	1503.7546	1171.1215	1164.4965	836.29	846.06683	873.5319	804.5817	1681.9429	1103.4072	757.5799	722.6045	970.7355	1039.189	896.0773	1197.4291	1135.6757	1168.2496	1285.4547	1257.8723	1332.0848	1279.609	1493.0659	1739.4602	828.9024	835.4676	1663.1528	1600.6523	729.30145	756.3872	3273.3442	973.18304	907.76465	1064.2603	3635.6382	4017.4421	1085.9265	1004.9368	1051.9468	683.2169	1107.2563	850.2291	3319.0256	3594.5554	4454.5083	4235.489	4248.143	840.7118	788.4871	2203.7925	2588.6582	1325.1631	1110.002	1185.9539	1971.8076	1.00:1.03:0.84:0.97:0.98:0.83:0.41:0.45:0.39:0.42:0.38:0.56:0.44:0.43:0.31:0.32:0.33:0.30:0.63:0.41:0.28:0.27:0.36:0.39:0.33:0.45:0.42:0.44:0.48:0.47:0.50:0.48:0.56:0.65:0.31:0.31:0.62:0.60:0.27:0.28:1.22:0.36:0.34:0.40:1.36:1.50:0.41:0.38:0.39:0.26:0.41:0.32:1.24:1.34:1.66:1.58:1.59:0.31:0.29:0.82:0.97:0.49:0.41:0.44:0.74	2520.5994	1166.2137	949.3481	1045.9098	1156.7931	1251.4316	1499.3369	1952.6614	1767.7051	2913.4678	1730.8962	1.00:0.46:0.38:0.41:0.46:0.50:0.59:0.77:0.70:1.16:0.69	54195	Keratin, type II cuticular Hb3 OS=Homo sapiens OX=9606 GN=KRT83 PE=1 SV=2
